"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","age","gender"
"96",1,1,1,1,0,0,1,0,1,0,20,0
"97",1,0,1,1,0,0,1,0,1,0,20,0
"98",0,0,1,1,0,0,1,0,1,0,20,0
"99",0,0,1,1,0,0,1,0,1,1,20,0
"100",1,0,0,1,1,0,1,0,1,1,20,0
"101",1,0,1,1,0,1,1,0,0,0,25,0
"102",1,0,1,1,1,1,0,0,0,0,25,0
"103",0,0,1,1,0,0,1,0,0,0,25,0
"104",1,0,1,1,0,0,1,0,1,0,25,0
"105",1,1,0,1,0,0,0,1,0,0,25,0
"106",1,0,0,1,0,0,1,0,0,0,25,0
"107",0,0,0,1,0,1,0,0,1,0,25,0
"108",0,0,0,1,0,1,1,0,0,0,25,0
"109",1,0,1,0,1,0,1,0,0,0,25,0
"110",1,0,1,1,0,1,0,0,0,1,25,0
"111",1,0,0,1,0,0,1,0,1,1,25,0
"112",1,1,1,1,0,0,0,0,1,0,25,0
"113",1,0,0,1,0,1,1,1,1,0,25,0
"114",1,1,1,1,0,0,1,0,1,1,25,0
"115",1,0,1,1,1,0,1,0,0,0,25,0
"116",1,0,1,1,0,1,1,0,1,1,25,0
"117",1,0,0,1,0,0,1,0,1,0,25,0
"118",1,1,1,0,0,0,1,0,1,0,25,0
"119",1,0,0,1,0,0,0,1,1,0,25,0
"120",1,0,1,1,0,0,1,0,1,1,25,0
"121",1,0,0,1,0,0,0,0,1,1,25,0
"122",1,0,1,1,0,0,1,0,1,0,25,0
"123",1,1,1,0,0,0,0,1,1,0,25,0
"124",1,1,1,1,0,0,1,0,1,0,25,0
"125",1,0,1,0,0,0,1,0,1,0,25,0
"126",1,0,1,1,0,0,0,0,1,1,25,0
"127",1,0,0,0,0,0,0,0,1,0,25,0
"128",0,0,1,1,0,1,1,0,1,1,25,0
"129",0,1,1,0,1,0,0,1,0,0,25,0
"130",1,0,1,1,0,0,0,0,1,0,25,0
"131",1,0,1,1,0,0,0,0,1,1,25,0
"132",1,0,0,1,0,0,1,0,1,1,25,0
"133",0,0,0,1,0,1,1,0,1,0,25,0
"134",1,0,1,1,1,1,1,0,0,0,25,0
"135",1,0,1,1,0,1,1,0,1,0,25,0
"136",0,1,0,0,0,0,1,0,1,1,25,0
"137",1,0,1,1,1,0,1,0,0,0,25,0
"138",1,0,1,1,0,0,0,1,1,0,25,0
"139",1,0,1,0,0,0,1,0,1,0,25,0
"140",0,1,1,1,0,0,1,0,1,0,25,0
"141",1,0,1,1,1,1,1,0,1,1,25,0
"142",1,1,1,1,0,0,1,0,1,1,25,0
"143",1,1,1,1,1,1,1,0,1,0,25,0
"144",1,0,1,1,0,0,1,1,1,0,25,0
"145",1,0,1,0,0,0,1,0,1,0,25,0
"146",1,0,1,1,0,0,1,0,1,0,25,0
"147",1,0,1,1,0,0,0,0,1,1,25,0
"148",0,0,0,1,0,0,1,0,1,0,25,0
"149",1,0,1,1,0,1,1,0,0,0,25,0
"150",0,0,1,1,0,0,0,0,0,1,25,0
"151",1,0,1,0,1,0,1,1,1,0,25,0
"152",1,0,1,1,0,0,1,0,1,0,25,0
"153",0,0,0,1,1,0,1,0,1,1,25,0
"154",1,1,1,1,0,0,1,0,1,0,25,0
"155",1,1,1,1,1,0,1,0,0,0,25,0
"156",1,0,1,1,0,0,1,0,1,0,25,0
"157",1,0,0,1,0,0,1,0,0,0,25,0
"158",1,0,1,1,0,0,0,0,1,0,25,0
"159",1,1,1,1,0,0,1,0,1,0,25,0
"160",0,0,1,1,0,1,1,0,1,0,25,0
"161",1,1,1,1,0,1,0,1,0,0,25,0
"162",1,0,1,1,0,0,1,0,1,0,25,0
"163",1,0,1,0,0,0,1,0,1,1,25,0
"164",1,0,1,1,0,1,1,0,1,1,25,0
"165",1,0,1,1,0,1,1,0,0,0,25,0
"166",1,0,0,1,0,1,0,0,1,1,25,0
"167",1,0,0,1,1,0,1,0,0,0,25,0
"168",0,0,1,1,1,1,1,0,1,0,25,0
"169",0,0,1,1,0,0,1,0,1,0,25,0
"170",1,0,1,1,1,0,1,0,1,0,25,0
"171",1,0,1,1,0,0,1,1,1,1,25,0
"172",1,0,1,1,0,1,1,0,1,0,25,0
"173",1,0,1,1,0,0,1,0,1,1,25,0
"174",1,0,1,1,0,1,1,0,1,0,25,0
"175",1,0,1,1,1,0,1,0,1,0,25,0
"176",1,0,1,1,0,0,1,0,1,0,25,0
"177",1,0,0,1,0,1,1,0,1,0,25,0
"178",1,0,0,1,0,0,1,0,1,0,25,0
"179",1,0,1,1,0,0,1,0,0,0,25,0
"180",1,1,1,0,0,0,1,0,1,0,25,0
"181",1,0,0,0,0,0,1,0,1,0,25,0
"182",0,0,1,1,1,0,1,0,1,0,25,0
"183",1,0,0,1,0,1,0,0,1,0,25,0
"184",1,0,1,1,1,0,1,0,1,1,25,0
"185",1,0,1,1,0,0,1,0,0,0,25,0
"186",1,0,1,1,0,0,1,0,1,1,25,0
"187",1,0,1,1,0,0,1,1,0,0,25,0
"188",1,0,1,1,0,0,1,1,1,0,25,0
"189",1,0,1,0,1,0,1,0,1,0,25,0
"190",0,0,1,1,0,0,0,1,1,0,25,0
"191",1,0,1,1,1,1,1,0,1,0,25,0
"192",1,0,0,1,1,0,1,0,0,1,25,0
"193",1,0,1,1,0,0,0,0,1,1,25,0
"194",1,1,0,1,0,0,0,0,0,0,25,0
"195",1,0,1,1,1,0,1,0,0,0,25,0
"196",1,0,1,0,1,0,1,0,1,0,25,0
"197",1,0,1,1,0,0,1,0,1,1,25,0
"198",1,0,1,0,0,0,1,0,1,0,25,0
"199",1,1,1,1,0,0,1,1,0,0,25,0
"200",1,0,1,0,0,0,1,0,1,0,25,0
"201",0,0,1,0,0,1,1,0,1,0,30,0
"202",0,0,1,1,0,1,1,0,0,0,30,0
"203",1,0,1,1,0,0,1,0,1,0,30,0
"204",1,0,1,1,0,0,0,0,1,0,30,0
"205",0,0,0,1,0,0,0,1,1,0,30,0
"206",1,0,1,1,0,0,1,1,1,0,30,0
"207",0,1,0,0,0,0,0,0,1,1,30,0
"208",1,0,1,1,0,1,1,0,1,0,30,0
"209",1,0,1,0,1,0,1,0,1,0,30,0
"210",1,0,1,1,0,0,0,1,1,0,30,0
"211",0,1,1,1,0,1,1,0,0,0,30,0
"212",0,0,1,1,0,1,0,1,1,0,30,0
"213",1,0,1,1,1,0,1,1,1,0,30,0
"214",1,1,1,1,0,1,1,1,1,1,30,0
"215",1,0,1,1,0,1,0,1,0,0,30,0
"216",1,0,0,1,0,1,0,1,0,0,30,0
"217",0,0,0,1,0,1,1,0,1,0,30,0
"218",0,0,1,1,1,0,0,0,1,0,30,0
"219",1,0,0,0,1,0,0,0,1,0,30,0
"220",1,0,1,0,0,1,1,0,1,0,30,0
"221",1,0,1,1,0,0,1,1,1,1,30,0
"222",1,0,1,1,0,0,0,0,1,0,30,0
"223",1,0,0,1,0,0,1,0,1,1,30,0
"224",1,1,0,1,0,0,1,0,0,0,30,0
"225",1,0,0,1,0,1,1,0,1,0,30,0
"226",1,0,1,1,0,1,1,0,1,1,30,0
"227",1,0,0,1,1,0,0,1,1,0,30,0
"228",1,1,1,1,0,0,0,0,1,0,30,0
"229",1,0,1,1,0,0,1,0,1,0,30,0
"230",1,0,1,1,0,0,0,1,1,0,30,0
"231",1,0,1,0,0,0,1,1,0,0,30,0
"232",1,1,0,1,0,0,1,1,1,1,30,0
"233",0,0,1,0,0,1,1,0,1,0,30,0
"234",1,0,0,1,0,0,1,0,1,0,30,0
"235",1,0,1,1,0,1,1,1,0,1,30,0
"236",1,0,1,1,1,1,0,0,1,1,30,0
"237",0,1,1,1,0,0,1,1,0,0,30,0
"238",1,1,1,1,0,1,1,1,1,1,30,0
"239",1,0,1,1,0,1,1,1,0,1,30,0
"240",0,0,1,0,0,0,1,0,0,0,30,0
"241",0,0,1,1,0,0,1,0,1,0,30,0
"242",1,0,1,1,0,0,1,1,0,1,30,0
"243",0,0,1,1,0,0,1,0,0,0,30,0
"244",1,0,1,1,0,0,1,1,1,0,30,0
"245",0,0,0,1,0,0,1,0,1,0,30,0
"246",0,1,1,0,0,1,1,1,0,0,30,0
"247",1,0,0,1,0,1,0,1,0,0,30,0
"248",1,0,0,0,0,1,1,0,0,1,30,0
"249",1,1,1,1,1,1,1,0,1,0,30,0
"250",1,1,1,1,0,0,1,0,0,0,30,0
"251",1,0,0,1,0,1,0,0,0,0,30,0
"252",1,0,1,1,0,0,1,1,0,0,30,0
"253",1,0,0,1,0,0,1,0,1,1,30,0
"254",1,1,1,1,0,0,1,0,0,0,30,0
"255",1,0,1,1,0,0,0,0,1,0,30,0
"256",1,1,1,1,0,0,0,1,1,0,30,0
"257",1,0,1,1,0,0,0,0,1,0,30,0
"258",1,1,0,1,0,0,1,0,0,0,30,0
"259",0,0,1,1,1,0,1,0,1,0,30,0
"260",1,0,0,1,0,0,1,1,1,0,30,0
"261",1,0,0,1,1,0,0,0,1,1,30,0
"262",0,0,1,1,0,0,1,0,1,0,30,0
"263",0,0,1,1,0,1,0,1,0,0,30,0
"264",1,1,1,1,1,1,1,0,1,0,30,0
"265",1,0,1,1,0,0,1,1,0,0,30,0
"266",1,0,1,1,0,1,0,0,1,0,30,0
"267",1,0,1,0,0,1,1,1,1,0,30,0
"268",1,0,0,1,0,0,1,1,0,0,30,0
"269",1,1,1,1,0,0,1,0,0,1,30,0
"270",1,0,0,1,0,0,1,0,1,0,30,0
"271",1,0,1,1,1,1,1,1,1,0,30,0
"272",1,0,0,1,0,1,1,0,0,0,30,0
"273",0,1,1,1,0,0,1,0,1,0,30,0
"274",1,0,1,1,0,0,1,0,1,0,30,0
"275",0,0,1,1,1,0,1,0,1,0,30,0
"276",1,0,1,1,1,1,1,0,1,0,30,0
"277",0,1,1,1,1,0,0,0,1,0,30,0
"278",1,0,1,0,1,0,1,0,1,0,30,0
"279",1,0,1,1,1,0,1,1,1,0,30,0
"280",1,0,0,1,1,0,1,0,1,0,30,0
"281",1,0,1,1,0,0,1,0,1,0,30,0
"282",1,0,1,0,1,0,1,0,1,0,30,0
"283",1,0,1,1,1,0,0,0,1,1,30,0
"284",1,0,0,1,0,1,1,0,1,0,30,0
"285",1,0,1,0,0,0,0,1,1,0,30,0
"286",1,0,0,1,1,0,1,1,1,0,30,0
"287",1,1,1,0,0,1,1,0,1,0,30,0
"288",0,1,1,1,0,0,1,0,1,0,30,0
"289",1,0,1,1,0,0,0,0,1,0,30,0
"290",1,0,1,1,0,0,1,1,0,0,30,0
"291",1,0,1,1,0,0,0,0,1,0,30,0
"292",1,0,0,1,0,1,1,0,0,0,30,0
"293",1,0,1,1,0,0,0,1,1,0,30,0
"294",1,0,1,0,0,1,1,1,1,0,30,0
"295",1,1,0,1,0,0,1,0,1,0,30,0
"296",1,0,1,0,0,1,1,0,1,0,30,0
"297",1,0,1,0,0,0,0,0,1,1,30,0
"298",1,0,0,1,0,0,0,0,1,0,30,0
"299",0,0,0,1,0,0,0,0,1,0,30,0
"300",1,0,0,1,1,0,1,0,1,0,30,0
"301",1,0,1,1,1,1,1,1,1,0,35,0
"302",1,1,0,1,0,0,1,0,1,0,35,0
"303",0,1,0,1,0,0,1,1,1,0,35,0
"304",0,0,0,1,0,0,1,0,1,0,35,0
"305",0,1,1,1,0,1,1,0,0,0,35,0
"306",1,1,0,1,1,0,0,0,0,1,35,0
"307",1,0,1,1,0,0,1,0,1,0,35,0
"308",0,0,1,1,0,1,0,0,0,0,35,0
"309",1,1,1,1,0,0,0,0,1,0,35,0
"310",1,0,0,1,0,0,1,0,0,0,35,0
"311",0,1,1,1,0,0,1,0,0,0,35,0
"312",0,1,1,0,0,1,0,0,0,0,35,0
"313",1,0,1,1,1,0,0,0,1,0,35,0
"314",1,0,1,1,1,1,1,1,0,1,35,0
"315",1,0,1,0,0,0,1,1,0,0,35,0
"316",1,0,1,1,0,0,1,0,1,1,35,0
"317",1,0,1,1,1,1,1,0,0,0,35,0
"318",0,0,1,0,0,1,1,1,1,0,35,0
"319",1,1,1,1,0,1,0,0,0,0,35,0
"320",1,0,1,1,0,1,1,0,0,0,35,0
"321",1,1,0,0,1,0,0,0,0,0,35,0
"322",0,1,0,1,1,0,1,0,1,0,35,0
"323",1,0,1,1,0,1,0,0,1,0,35,0
"324",1,0,1,0,1,0,1,1,1,0,35,0
"325",1,0,1,0,0,0,1,0,1,0,35,0
"326",1,1,0,1,0,1,1,1,1,0,35,0
"327",0,0,1,1,0,0,1,0,1,0,35,0
"328",1,0,0,1,0,0,1,0,0,0,35,0
"329",1,0,0,1,0,1,0,0,0,0,35,0
"330",1,0,1,0,0,1,1,0,1,0,35,0
"331",1,0,1,1,0,0,1,0,1,0,35,0
"332",1,0,1,1,0,1,1,0,1,1,35,0
"333",0,0,0,1,0,0,0,1,1,0,35,0
"334",1,0,0,0,1,0,1,1,1,1,35,0
"335",1,0,0,1,0,0,0,0,1,0,35,0
"336",0,0,0,1,0,0,1,0,1,0,35,0
"337",1,0,1,1,0,0,1,1,0,0,35,0
"338",1,0,0,1,1,1,1,1,1,0,35,0
"339",1,0,1,1,0,0,1,0,1,0,35,0
"340",1,0,1,1,0,1,0,1,1,0,35,0
"341",1,0,0,1,0,0,0,0,0,0,35,0
"342",1,0,1,1,0,0,0,0,1,1,35,0
"343",1,1,1,1,0,0,1,0,0,0,35,0
"344",1,0,1,0,0,1,1,0,1,0,35,0
"345",1,0,1,1,0,0,1,0,0,1,35,0
"346",1,0,1,0,1,0,1,0,0,0,35,0
"347",1,1,1,1,0,1,0,1,0,1,35,0
"348",1,1,0,0,0,1,0,0,0,1,35,0
"349",0,0,0,1,0,0,1,0,0,0,35,0
"350",1,0,0,1,0,1,0,0,1,0,35,0
"351",0,1,1,1,0,0,1,0,1,1,35,0
"352",0,1,0,0,0,1,1,1,0,0,35,0
"353",1,0,1,1,0,1,0,0,0,0,35,0
"354",1,0,1,1,0,0,0,0,0,0,35,0
"355",1,0,0,1,0,0,0,0,1,0,35,0
"356",1,0,1,1,0,1,1,1,1,1,35,0
"357",1,0,0,1,1,0,0,1,0,0,35,0
"358",1,1,0,1,0,0,1,0,1,1,35,0
"359",1,0,1,0,0,0,1,1,1,1,35,0
"360",1,0,0,1,0,1,0,0,1,0,35,0
"361",1,0,0,1,0,1,1,0,1,1,35,0
"362",1,0,0,1,0,0,1,1,0,0,35,0
"363",1,1,0,1,0,0,1,0,1,0,35,0
"364",1,0,0,1,0,0,1,0,0,0,35,0
"365",0,1,0,0,1,0,0,0,0,0,35,0
"366",1,0,0,1,0,0,0,0,0,0,35,0
"367",1,0,1,1,0,1,0,0,1,0,35,0
"368",1,0,1,1,0,1,1,0,1,1,35,0
"369",0,0,0,1,0,0,1,1,0,0,35,0
"370",1,1,0,1,0,0,0,1,1,1,35,0
"371",1,0,0,1,0,0,0,1,0,0,35,0
"372",0,1,1,1,0,1,1,1,0,0,35,0
"373",1,0,1,1,0,1,1,0,0,0,35,0
"374",0,0,1,1,0,1,1,1,0,0,35,0
"375",1,0,1,1,0,0,1,0,1,0,35,0
"376",1,0,0,1,0,1,0,1,0,0,35,0
"377",1,0,1,1,0,0,0,0,1,1,35,0
"378",0,1,1,1,0,1,1,0,0,0,35,0
"379",1,0,1,0,0,0,1,0,1,0,35,0
"380",1,0,1,1,0,0,1,0,0,0,35,0
"381",1,0,1,1,0,1,0,1,0,0,35,0
"382",0,1,1,1,1,1,1,1,0,1,35,0
"383",1,0,0,1,0,1,0,1,1,0,35,0
"384",1,0,1,0,0,0,1,0,0,0,35,0
"385",0,0,1,1,1,0,1,1,1,0,35,0
"386",1,0,1,1,1,0,1,0,0,0,35,0
"387",1,0,1,1,1,0,1,0,1,0,35,0
"388",1,1,1,1,0,0,0,1,1,0,35,0
"389",1,0,1,1,0,1,1,1,0,1,35,0
"390",1,0,1,0,0,0,1,0,0,1,35,0
"391",1,0,0,1,0,0,1,0,1,1,35,0
"392",1,0,1,1,0,0,0,0,0,1,35,0
"393",1,0,0,1,0,1,0,1,0,0,35,0
"394",1,1,1,1,0,0,1,1,0,0,35,0
"395",1,0,1,0,0,0,0,0,1,0,35,0
"396",1,0,1,1,0,0,1,1,1,0,35,0
"397",1,0,1,1,0,1,1,0,1,0,35,0
"398",1,0,0,1,0,0,1,1,0,0,35,0
"399",0,0,1,1,0,0,0,0,1,0,35,0
"400",1,0,1,1,0,0,0,0,0,0,35,0
"401",1,0,0,1,0,0,0,0,1,0,40,0
"402",1,0,1,1,1,1,1,1,1,0,40,0
"403",0,1,1,0,0,0,0,0,1,0,40,0
"404",1,1,0,1,0,0,0,1,0,1,40,0
"405",1,0,1,1,0,1,0,1,0,1,40,0
"406",0,0,1,1,0,0,1,0,0,1,40,0
"407",1,0,0,1,1,1,1,0,0,0,40,0
"408",1,0,0,1,0,0,1,1,1,0,40,0
"409",0,0,0,0,0,0,0,0,1,1,40,0
"410",1,0,1,1,0,0,0,1,0,0,40,0
"411",1,0,1,0,0,0,0,0,0,0,40,0
"412",1,0,1,1,0,0,0,1,1,1,40,0
"413",1,0,0,0,0,1,1,1,1,0,40,0
"414",1,0,1,1,1,0,0,1,1,0,40,0
"415",0,0,0,1,0,0,1,0,1,0,40,0
"416",1,0,1,1,0,1,0,0,0,1,40,0
"417",1,0,1,1,1,1,0,0,1,0,40,0
"418",1,1,1,0,0,0,1,0,1,0,40,0
"419",1,0,0,1,0,1,1,0,0,1,40,0
"420",1,0,0,1,0,1,1,0,0,1,40,0
"421",1,1,1,0,0,1,1,0,0,0,40,0
"422",1,0,0,1,0,1,0,0,0,0,40,0
"423",1,0,0,1,1,1,0,0,1,0,40,0
"424",1,1,0,1,1,0,0,0,0,0,40,0
"425",1,0,1,1,0,1,0,1,1,0,40,0
"426",0,0,0,1,0,1,0,0,0,0,40,0
"427",1,0,1,1,1,1,1,1,1,0,40,0
"428",0,0,0,0,1,0,0,1,0,0,40,0
"429",0,0,0,1,1,1,1,1,0,0,40,0
"430",1,0,1,1,0,1,1,1,1,0,40,0
"431",0,0,1,1,0,1,0,0,0,0,40,0
"432",0,0,0,1,0,0,0,1,1,0,40,0
"433",1,0,1,1,0,1,1,1,1,0,40,0
"434",0,0,1,1,1,0,0,0,1,0,40,0
"435",1,0,0,1,1,1,1,0,0,0,40,0
"436",1,0,0,1,0,1,1,1,0,0,40,0
"437",1,1,0,1,0,1,1,1,1,0,40,0
"438",0,0,1,0,0,0,0,1,1,0,40,0
"439",0,0,1,1,1,1,1,0,0,1,40,0
"440",1,0,1,0,0,1,1,1,0,0,40,0
"441",1,0,0,0,0,0,0,1,0,0,40,0
"442",1,0,1,1,0,0,1,1,1,1,40,0
"443",0,0,0,0,0,1,1,1,0,0,40,0
"444",1,1,1,1,0,1,1,1,1,0,40,0
"445",0,0,1,1,0,0,0,1,0,0,40,0
"446",1,0,1,1,0,1,1,1,0,0,40,0
"447",1,0,1,0,0,1,0,0,1,1,40,0
"448",1,0,0,1,0,0,0,1,1,0,40,0
"449",1,1,1,1,0,1,0,0,0,0,40,0
"450",1,0,1,0,0,0,1,1,0,0,40,0
"451",1,0,0,1,0,1,1,1,1,1,40,0
"452",1,1,0,1,0,0,0,0,1,1,40,0
"453",0,1,0,1,0,1,1,1,1,1,40,0
"454",1,0,1,0,0,0,1,0,1,1,40,0
"455",1,0,0,1,0,1,0,0,1,0,40,0
"456",0,0,0,0,0,0,0,1,1,1,40,0
"457",1,0,1,0,0,0,0,1,0,0,40,0
"458",1,0,1,1,1,1,0,0,1,0,40,0
"459",1,0,1,0,1,0,1,0,0,0,40,0
"460",1,0,1,1,0,1,1,1,1,0,40,0
"461",1,0,1,1,0,1,0,1,1,0,40,0
"462",1,1,1,1,1,1,1,0,1,0,40,0
"463",1,0,1,0,0,0,0,0,1,1,40,0
"464",1,0,0,1,0,0,1,1,0,0,40,0
"465",1,0,0,1,0,0,1,0,0,0,40,0
"466",0,0,1,1,1,0,1,1,1,0,40,0
"467",0,0,0,1,0,1,1,1,1,0,40,0
"468",1,0,1,0,0,0,0,1,1,0,40,0
"469",1,0,1,0,0,1,0,0,0,0,40,0
"470",1,1,1,1,0,1,0,0,0,0,40,0
"471",1,0,1,1,0,1,0,1,1,1,40,0
"472",1,0,0,1,0,1,0,1,1,0,40,0
"473",1,0,1,1,0,1,0,1,0,0,40,0
"474",1,0,1,1,0,1,1,1,0,0,40,0
"475",1,1,1,1,0,0,0,1,1,1,40,0
"476",1,0,1,1,0,1,1,1,0,0,40,0
"477",1,0,0,1,0,0,1,0,1,1,40,0
"478",1,0,1,1,0,1,0,1,1,0,40,0
"479",1,0,0,1,0,0,0,0,1,0,40,0
"480",0,0,0,1,0,0,0,1,0,0,40,0
"481",0,0,0,0,0,0,1,0,1,0,40,0
"482",1,1,0,1,0,0,1,1,0,0,40,0
"483",1,0,0,1,0,1,0,0,0,0,40,0
"484",1,0,0,1,0,0,0,0,0,0,40,0
"485",0,0,1,1,0,0,0,0,0,0,40,0
"486",1,0,0,1,0,1,0,0,1,1,40,0
"487",1,0,1,1,0,1,1,0,0,0,40,0
"488",1,1,1,1,0,0,0,1,0,0,40,0
"489",1,0,1,1,1,1,1,0,1,0,40,0
"490",1,0,1,1,0,0,1,1,1,0,40,0
"491",1,0,1,1,1,1,0,1,0,0,40,0
"492",1,0,0,1,0,1,0,0,1,0,40,0
"493",1,0,1,1,0,1,0,0,0,0,40,0
"494",0,1,0,0,0,1,1,1,0,0,40,0
"495",1,0,0,1,0,0,0,1,0,0,40,0
"496",1,1,1,0,1,0,0,0,0,0,40,0
"497",0,0,1,1,0,1,0,0,1,0,40,0
"498",1,0,1,0,0,0,0,0,0,0,40,0
"499",1,0,0,1,1,1,0,1,1,0,40,0
"500",1,0,1,1,0,1,1,1,0,0,40,0
"501",0,0,1,1,1,0,1,0,0,1,45,0
"502",1,1,0,0,0,1,1,1,0,0,45,0
"503",1,0,1,1,0,0,1,1,1,0,45,0
"504",1,1,0,1,0,1,0,0,1,0,45,0
"505",1,1,0,1,0,1,1,1,0,0,45,0
"506",0,0,0,0,0,0,1,1,0,0,45,0
"507",0,0,0,1,0,1,0,0,0,0,45,0
"508",1,0,0,1,0,0,1,0,1,0,45,0
"509",1,0,1,1,0,0,0,1,1,0,45,0
"510",1,0,0,0,1,1,0,0,0,0,45,0
"511",0,0,0,0,0,1,0,1,0,0,45,0
"512",1,0,0,1,0,1,0,0,0,0,45,0
"513",1,1,0,1,0,0,1,1,0,0,45,0
"514",1,0,0,1,0,1,0,0,1,0,45,0
